id,idp,filename,NOP_method,CC_method,ATFD_method,FDP_method,CM_method,MAXNESTING_method,LOC_method,CYCLO_method,NMCS_method,NOLV_method,MaMCL_method,NOAV_method,LAA_method,FANOUT_method,CFNAMM_method,ATLD_method,CLNAMM_method,CINT_method,MeMCL_method,CDISP_method,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,NOPA_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,label
12,170,freemind-0.9.0/FilterComposerDialog_itemStateChanged.java,1,0,15,3,0,5,52,10,0,2,0,20,0,3,4,0,0,4,0,0.75,1,0,0,1,0,15,3,1,0,0,1,57,57,8,1,0,4,5,0,10,0,1,10,10,10,23,60,1,1234,72,43,849,78,5788,4778,65687,TRUE
13,13,freemind-0.9.0/HtmlTools_unescapeHTMLUnicodeEntity.java,1,5,0,0,6,7,49,12,0,8,0,7,0,0,0,0,0,0,0,0,0,0,1,25,0,1,3,25,8,0,1,615,615,292,0.003952569,2,2,30,0,100,1,0.92,100,4,4,50,388,3,8258,437,43,849,78,5788,4778,65687,TRUE
14,99,freemind-0.9.0/NewChildAction_addNew.java,3,1,6,2,1,4,49,10,0,11,0,19,0.142857143,5,20,1,0,11,0,0.454545455,1,0,0,8,0,10,12,8,2,15,2,132,132,386,0.476190476,0,14,45,0,21,0.785714286,1,21,2.625,2.625,74,380,4,5031,435,43,849,78,5788,4778,65687,TRUE
17,172,jasml-0.10/SourceCodeParser_parseClassSignature.java,0,0,5,1,0,5,40,10,0,2,0,16,0.583333333,4,14,7,0,8,0,0.5,1,0,2,29,0,106,25,29,4,0,1,1371,1371,4344,0,0,27,87,0,328,0.723214286,1,328,11.31034483,11.31034483,8,97,1,2639,106,4,48,1,245,233,6694,FALSE
18,210,jasperreports-3.7.3/JRApiWriter_writeProperties.java,2,0,0,0,0,5,22,6,0,6,0,7,0,3,8,0,0,5,0,0.6,0,0,0,143,0,61,112,143,8,0,1,3849,3849,129220,0.003740065,0,143,685,0,478,0.985915493,1,478,3.342657343,3.342657343,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
20,209,jasperreports-3.7.3/JRStringUtil_replaceCRwithLF.java,1,1,0,0,1,5,33,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,1,0,1,369,369,0,0,0,0,8,0,63,1,1,63,7.875,7.875,96,756,11,17329,801,66,1571,291,17113,11938,260912,FALSE
22,217,jasperreports-3.7.3/JRVerifier_verifyEmptyBackground.java,0,0,1,1,0,5,32,9,0,4,0,6,0.5,4,8,1,0,5,0,0.8,0,1,0,92,0,66,75,91,14,0,1,3277,3271,23616,0.029761905,3,103,313,0,641,0.981946625,0.833333333,640,6.967391304,7.032967033,70,686,5,18923,1266,66,1571,291,17113,11938,260912,FALSE
23,188,jasperreports-3.7.3/JRFillCrosstab_resetVariables.java,0,0,8,4,0,5,31,8,0,3,0,12,0,3,0,0,0,3,0,1,0,5,0,44,0,46,17,39,24,0,1,1239,1152,2852,0.193675889,0,24,97,0,229,0.887596899,0,213,5.204545455,5.461538462,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
25,288,jasperreports-3.7.3/FillTable_visitColumnGroup.java,1,0,1,1,0,5,43,6,0,9,0,11,0.5,5,10,1,0,6,0,0.833333333,1,0,0,3,0,1,5,3,1,0,1,66,66,38,1,0,7,10,0,10,0.5,1,10,3.333333333,3.333333333,24,157,1,2316,198,66,1571,291,17113,11938,260912,FALSE
27,34,jasperreports-3.7.3/JRFillCrosstab_computeBreakableHeaders.java,5,0,4,3,0,7,42,14,0,13,0,17,0,3,2,0,0,5,0,0.6,0,5,0,44,0,46,17,39,24,0,1,1239,1152,2852,0.193675889,0,24,97,0,229,0.887596899,0,213,5.204545455,5.461538462,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,FALSE
30,279,jasperreports-3.7.3/JRGridLayout_setGridElement.java,5,0,8,3,0,5,68,13,0,13,0,27,0.333333333,8,18,4,0,14,0,0.571428571,0,8,1,27,0,21,18,19,16,0,1,925,683,3010,0.274509804,0,18,93,0,139,0.913461538,0.6,91,5.148148148,4.789473684,81,516,24,21006,599,66,1571,291,17113,11938,260912,FALSE
31,271,jasperreports-3.7.3/JRRtfExporter_exportElements.java,1,0,0,0,0,5,30,13,0,3,0,4,1,1,2,1,0,1,0,1,0,1,1,35,0,50,35,34,16,47,2,1533,1524,4783,0.358333333,1,72,214,0,186,0.948529412,0.666666667,185,5.314285714,5.441176471,81,516,24,21006,599,66,1571,291,17113,11938,260912,TRUE
36,191,jasperreports-3.7.3/DefaultChartTheme_calculateTickUnits.java,2,0,0,0,0,5,78,15,0,8,0,12,1,2,6,4,0,3,0,0.666666667,1,1,1,40,0,45,36,39,9,0,1,2043,2003,20666,0.036036036,7,44,225,0,242,0.98005698,0.222222222,235,6.05,6.025641026,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,TRUE
37,114,jasperreports-3.7.3/JRXmlssExporter_exportReport.java,0,0,9,2,0,7,92,10,0,6,0,26,0.55,3,12,11,0,5,0,0.6,0,2,0,25,0,62,26,23,50,47,2,1183,1163,2598,0.186147186,2,58,196,0,139,0.975833333,0.6,137,5.56,5.956521739,10,75,0,2515,81,66,1571,291,17113,11938,260912,TRUE
38,178,jasperreports-3.7.3/JRVerticalFiller_fillSummaryNoLastFooterSamePage.java,0,0,3,3,0,5,81,8,0,1,0,14,0.769230769,5,27,10,0,12,0,0.416666667,0,3,0,43,0,35,15,40,1,85,2,2199,2131,11908,0,0,62,292,0,297,0.738095238,0,286,6.906976744,7.15,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,TRUE
39,37,jasperreports-3.7.3/JRHorizontalFiller_fillGroupFooters.java,1,0,11,3,0,9,116,21,0,6,0,21,0.266666667,2,9,4,0,4,0,0.5,0,3,0,43,0,33,15,40,5,85,2,2272,2205,11359,0,0,62,289,0,297,0.933333333,0,286,6.906976744,7.15,184,2134,16,45362,3035,66,1571,291,17113,11938,260912,TRUE
40,146,jasperreports-3.7.3/JRViewer_createHyperlinks.java,3,0,1,1,0,6,85,20,0,17,0,22,0.8,8,26,4,0,13,0,0.615384615,1,7,24,74,0,22,45,67,66,522,5,2120,1979,4383,0.208080808,2,28,140,1,221,0.969074305,0.791666667,202,2.986486486,3.014925373,32,115,1,2904,124,66,1571,291,17113,11938,260912,TRUE
44,257,jasperreports-3.7.3/PptxRunHelper_exportProps.java,4,0,1,1,0,5,119,23,0,12,0,15,0.666666667,4,7,2,0,4,0,1,0,0,0,6,0,2,10,6,2,3,2,228,228,171,0,0,14,25,0,36,1,1,36,6,6,46,268,6,8188,296,66,1571,291,17113,11938,260912,TRUE
45,20655,jFin_DateMath-R1.0.1/TypedScheduleGenerator_createPeriod.java,5,1,4,1,1,2,20,3,0,7,0,15,0,3,4,0,0,6,0,0.5,0,2,0,17,0,14,7,15,2,0,1,203,193,306,0,0,7,31,0,36,1.0625,0.818181818,34,2.117647059,2.266666667,10,60,1,1447,77,11,58,2,541,326,7842,FALSE
46,312,jFin_DateMath-R1.0.1/TypedScheduleGenerator_generateScheduleInternal.java,5,1,1,1,1,5,68,11,0,13,0,14,0,3,16,0,0,8,0,0.375,0,2,0,17,0,14,7,15,2,0,1,203,193,306,0,0,7,31,0,36,1.0625,0.818181818,34,2.117647059,2.266666667,10,60,1,1447,77,11,58,2,541,326,7842,TRUE
56,391,jfreechart-1.0.13/DatasetUtilities_findStackedRangeBounds.java,2,1,0,0,1,5,35,8,0,13,0,13,0,2,8,0,0,4,0,0.5,0,0,0,52,0,1,25,52,0,0,1,1968,1968,6872,0,0,27,108,0,315,0,1,315,6.057692308,6.057692308,19,225,11,4955,245,69,960,103,11810,10192,247421,FALSE
58,173,jfreechart-1.0.13/DatasetUtilities_iterateRangeBounds.java,2,0,0,0,0,6,46,14,0,13,0,13,0,3,12,0,0,6,0,0.5,0,0,0,52,0,1,25,52,0,0,1,1968,1968,6872,0,0,27,108,0,315,0,1,315,6.057692308,6.057692308,19,225,11,4955,245,69,960,103,11810,10192,247421,FALSE
59,352,jfreechart-1.0.13/WaferMapRenderer_getLegendCollection.java,0,1,0,0,1,5,49,7,0,10,0,13,1,2,8,3,0,3,0,0.666666667,0,3,0,15,0,0,5,12,7,188,2,319,236,124,0.1,2,13,228,0,44,0.87755102,0.5,34,2.933333333,2.833333333,13,174,2,5920,290,69,960,103,11810,10192,247421,FALSE
60,354,jfreechart-1.0.13/TimePeriodValuesCollection_getDomainBounds.java,1,0,3,1,0,5,47,8,0,17,0,23,0.5,3,24,3,0,12,0,0.25,3,2,0,24,0,3,5,22,4,20,5,420,391,686,0.261904762,0,14,72,0,48,0.836956522,0.913043478,45,2,2.045454545,26,480,1,9366,498,69,960,103,11810,10192,247421,FALSE
63,389,jfreechart-1.0.13/DatasetUtilities_findMaximumRangeValue_1.java,1,0,0,0,0,5,44,8,0,9,0,9,0,3,10,0,0,5,0,0.6,0,0,0,52,0,1,25,52,0,0,1,1968,1968,6872,0,0,27,108,0,315,0,1,315,6.057692308,6.057692308,19,225,11,4955,245,69,960,103,11810,10192,247421,TRUE
64,388,jfreechart-1.0.13/DatasetUtilities_findMinimumRangeValue.java,1,0,0,0,0,5,49,9,0,10,0,10,0,5,12,0,0,6,0,0.833333333,0,0,0,52,0,1,25,52,0,0,1,1968,1968,6872,0,0,27,108,0,315,0,1,315,6.057692308,6.057692308,19,225,11,4955,245,69,960,103,11810,10192,247421,TRUE
65,390,jfreechart-1.0.13/DatasetUtilities_findMaximumRangeValue_2.java,1,0,0,0,0,5,48,9,0,10,0,10,0,5,12,0,0,6,0,0.833333333,0,0,0,52,0,1,25,52,0,0,1,1968,1968,6872,0,0,27,108,0,315,0,1,315,6.057692308,6.057692308,19,225,11,4955,245,69,960,103,11810,10192,247421,TRUE
66,157,jfreechart-1.0.13/MovingAverage_createMovingAverage_2.java,5,0,0,0,0,8,68,12,0,16,0,16,0,2,12,0,0,6,0,0.333333333,0,0,0,6,0,0,9,6,0,0,1,305,305,274,0,0,9,29,0,38,0,1,38,6.333333333,6.333333333,26,480,1,9366,498,69,960,103,11810,10192,247421,TRUE
68,172,jfreechart-1.0.13/JDBCCategoryDataset_executeQuery.java,2,0,0,0,0,7,110,28,0,15,0,19,1,0,3,2,0,0,0,0,0,1,0,7,0,0,0,6,3,32,3,226,215,9,0.5,0,9,65,0,35,0.944444444,0.857142857,34,5,5.666666667,3,31,0,883,33,69,960,103,11810,10192,247421,TRUE
76,225,jgroups-2.10.0/Configurator_removeDeprecatedProperties.java,2,1,1,1,1,6,19,7,0,8,0,10,0.5,3,6,1,0,4,0,0.75,1,0,3,36,0,16,15,36,2,0,1,1485,1485,2294,0.033846154,0,14,90,0,212,0.914285714,1,212,5.888888889,5.888888889,39,311,1,6940,384,21,1093,80,8798,7670,126255,FALSE
77,195,jgroups-2.10.0/Util_getAllDeclaredMethodsWithAnnotations.java,2,1,0,0,2,6,23,9,0,9,0,9,0,0,0,0,0,0,0,0,0,0,2,218,0,37,34,218,22,0,1,3856,3856,35562,0.00041406,1,40,314,0,774,0.991202346,0.995238095,774,3.550458716,3.550458716,72,783,8,11259,840,21,1093,80,8798,7670,126255,FALSE
78,409,jgroups-2.10.0/STREAMING_STATE_TRANSFER_run.java,0,0,1,1,0,5,30,7,0,2,0,7,0.8,2,10,4,0,5,0,0.4,1,1,1,4,0,3,5,3,5,0,1,85,80,66,0.333333333,0,6,12,0,17,0.733333333,0.75,16,4.25,5.333333333,45,313,0,8348,385,21,1093,80,8798,7670,126255,FALSE
83,430,jgroups-2.10.0/ReplCache_objectToByteBuffer.java,1,0,2,1,0,5,42,7,0,7,0,13,0.666666667,3,8,4,0,6,0,0.5,1,0,0,2,0,2,3,2,4,0,1,77,77,36,0,0,4,11,0,15,2,1,15,7.5,7.5,103,748,11,17025,928,21,1093,80,8798,7670,126255,FALSE
84,470,jgroups-2.10.0/Configurator_checkDependencyReferencesPresent.java,2,0,0,0,0,5,39,8,0,11,0,11,0,1,4,0,0,2,0,0.5,1,0,3,36,0,16,15,36,2,0,1,1485,1485,2294,0.033846154,0,14,90,0,212,0.914285714,1,212,5.888888889,5.888888889,39,311,1,6940,384,21,1093,80,8798,7670,126255,FALSE
86,198,jgroups-2.10.0/Proxy_loop.java,1,0,0,0,0,6,58,10,0,10,0,12,1,0,0,2,0,0,0,0,0,0,5,21,0,0,3,21,10,0,1,787,787,162,0.035087719,0,0,25,0,86,0.97,1,86,4.095238095,4.095238095,72,783,8,11259,840,21,1093,80,8798,7670,126255,FALSE
87,469,jgroups-2.10.0/Configurator_createProtocols.java,2,0,2,2,0,5,38,8,0,9,0,13,0,4,10,0,0,7,0,0.571428571,1,0,3,36,0,16,15,36,2,0,1,1485,1485,2294,0.033846154,0,14,90,0,212,0.914285714,1,212,5.888888889,5.888888889,39,311,1,6940,384,21,1093,80,8798,7670,126255,FALSE
95,449,jgroups-2.10.0/TP_run_2.java,0,0,5,3,0,5,58,12,0,11,0,19,0.444444444,6,24,4,0,12,0,0.5,1,0,0,3,0,9,6,3,3,0,1,82,82,76,1,0,8,17,0,15,0.833333333,1,15,5,5,168,690,0,21327,989,21,1093,80,8798,7670,126255,TRUE
97,187,jgroups-2.10.0/MemcachedConnector_run.java,0,0,14,3,0,6,82,19,0,13,0,29,0.176470588,3,12,3,0,7,0,0.428571429,1,0,0,3,0,23,4,3,3,0,1,184,184,40,1,0,5,11,0,49,1,1,49,16.33333333,16.33333333,103,748,11,17025,928,21,1093,80,8798,7670,126255,TRUE
99,446,jgroups-2.10.0/Proxy_main.java,1,0,0,0,0,5,76,14,0,15,0,15,0,0,0,0,0,0,0,0,0,0,5,21,0,0,3,21,10,0,1,787,787,162,0.035087719,0,0,25,0,86,0.97,1,86,4.095238095,4.095238095,72,783,8,11259,840,21,1093,80,8798,7670,126255,TRUE
100,197,jgroups-2.10.0/Util_replaceProperties.java,2,1,0,0,1,8,113,21,0,20,0,20,0,0,0,0,0,0,0,0,0,0,2,218,0,37,34,218,22,0,1,3856,3856,35562,0.00041406,1,40,314,0,774,0.991202346,0.995238095,774,3.550458716,3.550458716,72,783,8,11259,840,21,1093,80,8798,7670,126255,TRUE
102,224,jgroups-2.10.0/Configurator_setDefaultValues.java,3,0,3,3,0,8,89,23,1,18,2,33,0.25,7,32,1,0,18,2,0.388888889,1,0,3,36,0,16,15,36,2,0,1,1485,1485,2294,0.033846154,0,14,90,0,212,0.914285714,1,212,5.888888889,5.888888889,39,311,1,6940,384,21,1093,80,8798,7670,126255,TRUE
104,35273,jmoney-0.4.4/MainFrame_jbInit.java,0,0,9,1,0,2,71,1,0,0,0,19,0.5,4,8,9,0,4,0,1,0,1,4,3,0,9,4,2,9,535,5,97,91,16,1,0,1,7,0,4,0.888888889,1,3,1.333333333,1.5,153,193,0,6579,256,4,190,3,713,563,9457,FALSE
105,35474,jmoney-0.4.4/EntryComparator_getInstance.java,2,1,0,0,1,2,29,10,0,3,0,5,0,8,16,0,0,8,0,1,1,1,8,7,0,1,9,6,1,0,1,133,122,112,0,0,1,16,8,30,0.833333333,1,27,4.285714286,4.5,17,56,1,874,74,4,190,3,713,563,9457,TRUE
106,487,jmoney-0.4.4/QIF_exportAccount.java,3,0,12,2,0,5,66,13,0,10,0,21,0.076923077,4,6,1,0,13,0,0.307692308,1,0,3,22,0,25,15,22,4,0,1,603,603,892,0.333333333,0,15,69,0,114,0.964285714,1,114,5.181818182,5.181818182,7,32,1,928,32,4,190,3,713,563,9457,TRUE
110,514,poi-3.6/Workbook_findDrawingGroup.java,0,1,2,2,1,5,50,11,0,8,0,12,0.5,5,12,2,0,7,0,0.714285714,1,16,0,107,0,125,57,91,20,0,1,2218,1997,17110,0.220120724,0,69,310,0,311,0.950471698,0.791666667,275,2.906542056,3.021978022,22,253,1,5906,345,133,2330,131,19618,13899,299402,FALSE
111,246,poi-3.6/Workbook_serialize.java,2,1,3,3,1,6,50,12,0,10,0,17,0.571428571,7,18,4,0,9,0,0.777777778,1,16,0,107,0,125,57,91,20,0,1,2218,1997,17110,0.220120724,0,69,310,0,311,0.950471698,0.791666667,275,2.906542056,3.021978022,22,253,1,5906,345,133,2330,131,19618,13899,299402,FALSE
112,521,poi-3.6/FormulaCellCacheEntrySet_remove.java,1,1,0,0,1,5,49,10,0,9,0,11,1,0,0,2,0,0,0,0,0,0,0,5,0,0,0,5,3,0,1,128,128,0,1,0,2,5,0,28,0.666666667,1,28,5.6,5.6,38,253,10,4401,270,133,2330,131,19618,13899,299402,FALSE
115,242,poi-3.6/HSSFOptimiser_optimiseFonts.java,1,0,6,4,0,8,119,23,2,20,2,29,0,9,20,0,0,18,2,0.5,0,0,0,2,0,8,10,2,0,0,1,225,225,96,0,0,12,26,0,39,0,1,39,19.5,19.5,59,763,1,14143,1136,133,2330,131,19618,13899,299402,FALSE
116,249,poi-3.6/EventRecordFactory_processRecords.java,1,1,0,0,1,6,35,10,0,6,0,6,0,2,8,0,0,4,0,0.5,0,0,0,4,0,0,4,4,2,0,1,86,86,28,1,0,4,10,0,16,1,1,16,4,4,2,11,2,178,11,133,2330,131,19618,13899,299402,TRUE
117,506,poi-3.6/RecordFactoryInputStream_StreamEncryptionInfo.java,2,1,0,0,1,5,38,5,0,5,0,9,1,3,10,4,0,5,0,0.6,0,1,0,5,0,0,6,4,4,0,1,83,73,150,0.166666667,0,9,19,0,12,0.9375,0.8,11,2.4,2.75,154,1112,3,20586,1786,133,2330,131,19618,13899,299402,TRUE
120,248,poi-3.6/EvaluationCache_notifyUpdateCell.java,3,1,3,3,1,6,66,13,0,9,0,16,0.5,9,34,3,0,18,0,0.5,0,0,1,8,0,8,15,8,3,0,1,182,182,492,0.9,0,18,41,0,36,0.523809524,1,36,4.5,4.5,38,253,10,4401,270,133,2330,131,19618,13899,299402,TRUE
122,500,poi-3.6/HSSFSheet_shiftRows.java,6,0,9,6,0,5,103,23,0,25,0,48,0.3125,12,34,5,0,29,0,0.413793103,1,43,0,137,0,73,41,94,9,0,1,1806,1243,18092,0.437320335,1,48,337,0,242,0.916666667,0.655737705,181,1.766423358,1.925531915,59,763,1,14143,1136,133,2330,131,19618,13899,299402,TRUE
123,250,poi-3.6/ExcelExtractor_getText.java,0,0,14,7,0,7,116,28,0,16,0,36,0.3,8,36,6,0,26,0,0.307692308,1,5,2,12,0,14,11,7,6,6,3,362,318,311,0.178571429,0,20,62,0,49,0.924242424,0.545454545,44,4.083333333,6.285714286,5,11,0,578,19,133,2330,131,19618,13899,299402,TRUE
124,518,poi-3.6/FormulaParser_parseRangeable.java,0,0,0,0,0,5,107,28,1,10,2,16,0.5,4,10,3,0,8,2,0.5,0,0,3,53,0,41,31,53,10,0,1,1511,1511,4746,1,0,57,121,0,281,0.905769231,1,281,5.301886792,5.301886792,38,253,10,4401,270,133,2330,131,19618,13899,299402,TRUE
128,285,xalan-2.7.1/BitArray_getBitNumber.java,1,0,0,0,0,6,28,8,0,2,0,9,1,0,0,7,0,0,0,0,1,2,0,16,0,1,0,14,13,0,1,232,204,0,0.705128205,0,1,16,0,46,0.861538462,0.875,39,2.875,2.785714286,66,634,5,10542,699,42,1171,66,10384,8750,312068,FALSE
130,647,xalan-2.7.1/ObjectFactory_findClassLoader.java,0,1,0,0,1,5,55,7,0,5,0,5,0,1,8,0,0,4,0,0.25,0,0,1,10,0,0,2,10,5,0,1,612,612,162,0,0,1,20,0,58,1,0,58,5.8,5.8,69,454,0,23224,474,42,1171,66,10384,8750,312068,FALSE
131,676,xalan-2.7.1/XML11Char_isXML11ValidNmtoken.java,1,1,0,0,1,5,21,8,0,5,0,5,0,1,4,0,0,2,0,0.5,0,0,0,15,0,0,1,15,10,0,1,391,391,48,0.342857143,9,1,17,0,49,0.935714286,0.625,49,3.266666667,3.266666667,66,681,5,19469,786,42,1171,66,10384,8750,312068,FALSE
132,635,xalan-2.7.1/TreeWalker_traverse.java,2,0,0,0,0,5,37,9,0,3,0,4,1,0,0,1,0,0,0,0,0,1,0,8,0,0,3,7,5,0,1,478,467,48,1,0,4,13,0,68,0.8,0.8,67,8.5,9.571428571,49,669,11,19441,821,42,1171,66,10384,8750,312068,FALSE
135,624,xalan-2.7.1/ToHTMLStream_put.java,2,1,0,0,1,5,55,6,0,8,0,13,0.6,1,2,3,0,1,0,1,0,1,1,7,0,0,1,6,4,0,1,319,310,42,1,1,0,8,0,28,0.75,0.75,27,4,4.5,49,669,11,19441,821,42,1171,66,10384,8750,312068,FALSE
136,287,xalan-2.7.1/EncodingInfo_EncodingImpl.java,4,0,1,1,0,6,66,16,0,6,0,15,0.888888889,0,0,8,0,0,0,0,1,0,0,4,0,0,2,4,10,0,1,227,227,52,1,0,3,10,0,29,0.733333333,1,29,7.25,7.25,49,669,11,19441,821,42,1171,66,10384,8750,312068,FALSE
138,335,xalan-2.7.1/KeyTable_getRefsTable.java,0,0,7,5,0,7,48,7,0,13,0,23,0.222222222,10,18,2,0,14,0,0.714285714,0,3,1,8,0,10,13,5,4,0,1,216,128,160,0.166666667,0,15,36,0,21,0.892857143,0.75,10,2.625,2,28,223,3,9478,312,42,1171,66,10384,8750,312068,FALSE
139,554,xalan-2.7.1/ObjectFactory_findProviderClass_2.java,3,0,0,0,0,5,53,9,0,10,0,8,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,10,5,0,1,612,612,162,0,0,1,20,0,58,1,0,58,5.8,5.8,58,126,0,3480,142,42,1171,66,10384,8750,312068,TRUE
140,710,xalan-2.7.1/ObjectFactory_findProviderClass_1.java,3,1,0,0,1,5,53,9,0,10,0,8,0,0,0,0,0,0,0,0,0,0,1,10,0,0,2,10,5,0,1,612,612,162,0,0,1,20,0,58,1,0,58,5.8,5.8,14,33,0,1158,37,42,1171,66,10384,8750,312068,TRUE
142,691,xalan-2.7.1/DOM3TreeWalker_traverse.java,1,1,0,0,1,5,60,14,0,4,0,9,1,0,0,5,0,0,0,0,0,0,0,30,0,33,9,30,41,0,1,2082,2082,1782,0.420634921,0,13,63,0,316,0.952060555,1,316,10.53333333,10.53333333,13,78,0,4557,110,42,1171,66,10384,8750,312068,TRUE
143,338,xalan-2.7.1/DOM3TreeWalker_isWFXMLChar.java,2,0,0,0,0,6,54,16,0,7,0,8,1,2,12,1,0,6,0,0.333333333,0,0,0,30,0,33,9,30,41,0,1,2082,2082,1782,0.420634921,0,13,63,0,316,0.952060555,1,316,10.53333333,10.53333333,13,78,0,4557,110,42,1171,66,10384,8750,312068,TRUE
145,663,xalan-2.7.1/DOMHelper_isNodeAfterSibling.java,3,0,0,0,0,5,106,20,0,12,0,12,0,0,0,0,0,0,0,0,0,1,0,25,0,8,5,24,9,0,1,1283,1269,178,0.003952569,0,7,35,1,138,0.99537037,0.956521739,137,5.52,5.708333333,66,681,5,19469,786,42,1171,66,10384,8750,312068,TRUE
